npi,last_name,first_name,middle_name,credential,sole_proprietor,matched_term,primary_taxonomy,taxonomy_code,all_taxonomies,license,license_state,org_name,address_1,address_2,city,state,postal_code,phone,fax,location_kind,enumeration_date,last_updated,status,address_shared_by,source_url
1073293304,100 Chiro Spivey Llc,,,,,,Chiropractor,111N00000X,Chiropractor,,,100 CHIRO SPIVEY LLC,2118 HIGHWAY 41 STE 103,,Mount Pleasant,SC,29466,910-641-1157,,primary_practice,2023-07-21,2023-07-21,A,1,https://npiregistry.cms.hhs.gov/provider-view/1073293304
1245759760,"101 Mobility, Llc",,,,,,Durable Medical Equipment & Medical Supplies,332B00000X,Durable Medical Equipment & Medical Supplies,,,"101 MOBILITY, LLC",5221 OLEANDER DRIVE,,Wilmington,NC,28403,910-350-2755,910-350-8032,primary_practice,2017-09-15,2017-09-15,A,1,https://npiregistry.cms.hhs.gov/provider-view/1245759760
1598943177,"101Mobility, Llc",,,,,,Durable Medical Equipment & Medical Supplies,332B00000X,Durable Medical Equipment & Medical Supplies,,NC,"101MOBILITY, LLC",5221 OLEANDER DR,,Wilmington,NC,28403,910-350-2755,910-350-8032,other_practice,2008-02-05,2019-03-19,A,1,https://npiregistry.cms.hhs.gov/provider-view/1598943177
1598943177,"101Mobility, Llc",,,,,,Durable Medical Equipment & Medical Supplies,332B00000X,Durable Medical Equipment & Medical Supplies,,NC,"101MOBILITY, LLC",1563 WESTBELT DR,,Columbus,OH,43228,740-548-5449,740-548-7486,primary_practice,2008-02-05,2019-03-19,A,1,https://npiregistry.cms.hhs.gov/provider-view/1598943177
1922983964,"1041 Dodds Mt. Pleasant Professional, Pllc",,,,,,"Clinic/Center, Dental",261QD0000X,"Clinic/Center, Dental",,,"1041 DODDS MT. PLEASANT PROFESSIONAL, PLLC",1041 JOHNNIE DODDS BLVD STE 1A,,Mt Pleasant,SC,29464,843-884-6004,,primary_practice,2025-08-08,2025-08-08,A,1,https://npiregistry.cms.hhs.gov/provider-view/1922983964
1487311296,"129 Plantation Groose Creek Professional, Llc",,,,,,"Dentist, General Practice",1223G0001X,"Dentist, General Practice",,,"129 PLANTATION GROOSE CREEK PROFESSIONAL, LLC",129 PLANTATION NORTH BLVD STE D,,Goose Creek,SC,29445,843-410-4920,843-410-4924,primary_practice,2021-11-29,2021-11-29,A,1,https://npiregistry.cms.hhs.gov/provider-view/1487311296
1730847724,"1724 State Summerville Professional, Llc",,,,,,"Dentist, General Practice",1223G0001X,"Dentist, General Practice",,,"1724 STATE SUMMERVILLE PROFESSIONAL, LLC",1724 STATE RD UNIT 4D,,Summerville,SC,29486,843-352-4454,843-352-4875,primary_practice,2021-12-07,2021-12-07,A,2,https://npiregistry.cms.hhs.gov/provider-view/1730847724
1548109085,180 Healing Center Llc,,,,,,"Counselor, Mental Health",101YM0800X,"Counselor, Mental Health",,,180 HEALING CENTER LLC,3221 MEADOWBROOK DR,,Florence,SC,29501,843-245-5966,,primary_practice,2026-03-27,2026-03-27,A,1,https://npiregistry.cms.hhs.gov/provider-view/1548109085
1023503315,1800Doctorb,,,,,,Internal Medicine,207R00000X,Internal Medicine,1631,SC,1800DOCTORB,5130 WESCOTT BLVD,,Summerville,SC,29485,843-486-2712,,primary_practice,2018-06-28,2018-06-28,A,1,https://npiregistry.cms.hhs.gov/provider-view/1023503315
1053729863,"1St Choice Healthcare Services, Inc",,,,,,Community/Behavioral Health,251S00000X,Community/Behavioral Health,,,"1ST CHOICE HEALTHCARE SERVICES, INC",2117 BW PALMETTO ST.,SUITE108,Florence,SC,29501,252-315-8232,888-376-1118,primary_practice,2014-07-24,2014-07-24,A,1,https://npiregistry.cms.hhs.gov/provider-view/1053729863
1508233917,1St Start Healthcare Services,,,,,,Community/Behavioral Health,251S00000X,Community/Behavioral Health,,,1ST START HEALTHCARE SERVICES,251 LAWSON ST,,Florence,SC,29501,919-760-3219,,primary_practice,2015-09-01,2015-09-01,A,1,https://npiregistry.cms.hhs.gov/provider-view/1508233917
1053687384,20/20 Eyewear Inc.,,,,,,"Eyewear Supplier (Equipment, not the service)",332H00000X,"Eyewear Supplier (Equipment, not the service)",713,SC,20/20 EYEWEAR INC.,1315 HIGHWAY 501 BUSINESS STE A,,Conway,SC,29526,843-248-2020,843-347-2024,primary_practice,2012-03-30,2012-03-30,A,1,https://npiregistry.cms.hhs.gov/provider-view/1053687384
1578759908,20/20 Eyewear Inc.,,,,,,"Eyewear Supplier (Equipment, not the service)",332H00000X,"Eyewear Supplier (Equipment, not the service)",713,SC,20/20 EYEWEAR INC.,12060 HIGHWAY 17 BYP UNIT B,,Murrells Inlet,SC,29576,843-357-2020,843-357-2021,primary_practice,2007-09-19,2009-07-20,A,2,https://npiregistry.cms.hhs.gov/provider-view/1578759908
1124048053,20/20 Vision Center Inc,,,,,,"Technician/Technologist, Optician",156FX1800X,"Technician/Technologist, Optician",535,SC,20/20 VISION CENTER INC,217 ST JAMES AVE,STE A5,Goose Creek,SC,29445,843-797-5711,843-797-5712,primary_practice,2006-07-21,2020-08-22,A,1,https://npiregistry.cms.hhs.gov/provider-view/1124048053
1447955158,24 Hr Transportation Services,,,,,,Secured Medical Transport (VAN),343800000X,Secured Medical Transport (VAN),,,24 HR TRANSPORTATION SERVICES,101 CHARTER DR,,Wilmington,NC,28403,910-338-8267,,primary_practice,2023-04-03,2023-04-03,A,1,https://npiregistry.cms.hhs.gov/provider-view/1447955158
1144877655,"24 On Physicians Of Sc, Llc",,,,,,Hospitalist,208M00000X,Hospitalist,,,"24 ON PHYSICIANS OF SC, LLC",316 CALHOUN ST,,Charleston,SC,29401,770-274-0482,,primary_practice,2019-08-20,2026-08-05,A,6,https://npiregistry.cms.hhs.gov/provider-view/1144877655
1144877655,"24 On Physicians Of Sc, Llc",,,,,,Hospitalist,208M00000X,Hospitalist,,,"24 ON PHYSICIANS OF SC, LLC",2095 HENRY TECKLENBURG DR,,Charleston,SC,29414,770-274-0468,,other_practice,2019-08-20,2026-08-05,A,14,https://npiregistry.cms.hhs.gov/provider-view/1144877655
1144877655,"24 On Physicians Of Sc, Llc",,,,,,Hospitalist,208M00000X,Hospitalist,,,"24 ON PHYSICIANS OF SC, LLC",3500 HIGHWAY 17 BYP N,,Mount Pleasant,SC,29466,770-274-0468,,other_practice,2019-08-20,2026-08-05,A,2,https://npiregistry.cms.hhs.gov/provider-view/1144877655
1144877655,"24 On Physicians Of Sc, Llc",,,,,,Hospitalist,208M00000X,Hospitalist,,,"24 ON PHYSICIANS OF SC, LLC",100 CALLEN BLVD,,Summerville,SC,29486,770-274-0468,,other_practice,2019-08-20,2026-08-05,A,2,https://npiregistry.cms.hhs.gov/provider-view/1144877655
1235453549,2C-Clearly Corp.,,,,,,"Counselor, Professional",101YP2500X,"Counselor, Professional",2833,SC,2C-CLEARLY CORP.,920 MOUNT GILEAD RD,"BLDG. C, STE.3",Murrells Inlet,SC,29576,843-222-4599,864-643-0594,primary_practice,2010-03-16,2010-03-16,A,1,https://npiregistry.cms.hhs.gov/provider-view/1235453549
1457019820,2Nd Chance Counseling Llc,,,,,,"Counselor, Professional",101YP2500X,"Counselor; Counselor, Mental Health; Counselor, Professional; Marriage & Family Therapist",,,2ND CHANCE COUNSELING LLC,181 E EVANS ST STE E6A,,Florence,SC,29506,843-874-0152,843-799-2151,primary_practice,2021-12-02,2022-04-12,A,1,https://npiregistry.cms.hhs.gov/provider-view/1457019820
1376604546,3 D Optometry Pc,,,,,,Optometrist,152W00000X,Optometrist,1350,SC,3 D OPTOMETRY PC,1031 HIGHWAY 41 STE 400,,Mt Pleasant,SC,29466,843-388-1888,843-856-9643,primary_practice,2006-12-12,2018-06-21,A,1,https://npiregistry.cms.hhs.gov/provider-view/1376604546
