npi,last_name,first_name,middle_name,credential,sole_proprietor,matched_term,primary_taxonomy,taxonomy_code,all_taxonomies,license,license_state,org_name,address_1,address_2,city,state,postal_code,phone,fax,location_kind,enumeration_date,last_updated,status,address_shared_by,source_url
1053687384,20/20 Eyewear Inc.,,,,,,"Eyewear Supplier (Equipment, not the service)",332H00000X,"Eyewear Supplier (Equipment, not the service)",713,SC,20/20 EYEWEAR INC.,1315 HIGHWAY 501 BUSINESS STE A,,Conway,SC,29526,843-248-2020,843-347-2024,primary_practice,2012-03-30,2012-03-30,A,3,https://npiregistry.cms.hhs.gov/provider-view/1053687384
1578759908,20/20 Eyewear Inc.,,,,,,"Eyewear Supplier (Equipment, not the service)",332H00000X,"Eyewear Supplier (Equipment, not the service)",713,SC,20/20 EYEWEAR INC.,12060 HIGHWAY 17 BYP UNIT B,,Murrells Inlet,SC,29576,843-357-2020,843-357-2021,primary_practice,2007-09-19,2009-07-20,A,2,https://npiregistry.cms.hhs.gov/provider-view/1578759908
1235453549,2C-Clearly Corp.,,,,,,"Counselor, Professional",101YP2500X,"Counselor, Professional",2833,SC,2C-CLEARLY CORP.,920 MOUNT GILEAD RD,"BLDG. C, STE.3",Murrells Inlet,SC,29576,843-222-4599,864-643-0594,primary_practice,2010-03-16,2010-03-16,A,3,https://npiregistry.cms.hhs.gov/provider-view/1235453549
1962881268,360 Health Care,,,,,,"Clinic/Center, Medical Specialty",261QM2500X,"Clinic/Center, Medical Specialty; Clinic/Center, Multi-Specialty",MD18446,SC,360 HEALTH CARE,4810 N KINGS HWY,,Myrtle Beach,SC,29577,843-692-9243,,primary_practice,2015-05-20,2015-05-20,A,3,https://npiregistry.cms.hhs.gov/provider-view/1962881268
1659991990,4Ourboys Llc,,,,,,"Ambulance, Land Transport",3416L0300X,"Ambulance, Land Transport",,,4OURBOYS LLC,1643 HIGHWAY 544,,Conway,SC,29526,843-347-2928,,primary_practice,2020-04-16,2020-04-16,A,1,https://npiregistry.cms.hhs.gov/provider-view/1659991990
1740705649,5 Star Home Care Inc,,,,,,In Home Supportive Care,253Z00000X,Home Health; In Home Supportive Care,,,5 STAR HOME CARE INC,4703 HIGHWAY 17 BYP S,,Myrtle Beach,SC,29577,843-633-3333,843-294-0140,primary_practice,2017-08-11,2023-04-26,A,1,https://npiregistry.cms.hhs.gov/provider-view/1740705649
1508846593,501 Family Medical Center Llc,,,,,,Family Medicine,207Q00000X,Family Medicine,24043,SC,501 FAMILY MEDICAL CENTER LLC,1752 HIGHWAY 501,,Myrtle Beach,SC,29577,843-448-3050,843-448-5934,primary_practice,2006-01-18,2015-06-05,A,1,https://npiregistry.cms.hhs.gov/provider-view/1508846593
1043872187,7 Dimensions Of Health,,,,,,Community/Behavioral Health,251S00000X,"Clinic/Center, Adolescent and Children Mental Health; Clinic/Center, Student Health; Community/Behavioral Health; Counselor; Counselor, Pastoral; Counselor, Professional; Counselor, School",,,7 DIMENSIONS OF HEALTH,500 S KAMINSKI ST,,Georgetown,SC,29440,843-932-7217,,primary_practice,2019-06-28,2019-06-28,A,1,https://npiregistry.cms.hhs.gov/provider-view/1043872187
1366258956,"A And S Drug Company, Llc",,,,,,"Pharmacy, Community/Retail Pharmacy",3336C0003X,"Pharmacy; Pharmacy, Community/Retail Pharmacy",,,"A AND S DRUG COMPANY, LLC",801 S MADISON ST,,Whiteville,NC,28472,910-642-4188,910-642-9003,primary_practice,2024-12-09,2024-12-09,A,3,https://npiregistry.cms.hhs.gov/provider-view/1366258956
1851813158,A Better Choice Case Management Llc,,,,,,Case Management,251B00000X,Case Management; Case Manager/Care Coordinator,,,A BETTER CHOICE CASE MANAGEMENT LLC,9412 HIGHWAY 17 BYP UNIT D,,Murrells Inlet,SC,29576,843-987-0338,833-790-2161,primary_practice,2017-07-09,2026-03-29,A,1,https://npiregistry.cms.hhs.gov/provider-view/1851813158
1891658639,"A Joy Collaborative, Llc",,,,,,"Counselor, Mental Health",101YM0800X,"Counselor, Mental Health",,,"A JOY COLLABORATIVE, LLC",1312 2ND AVE UNIT F,,Conway,SC,29526,843-902-1522,,primary_practice,2025-12-08,2025-12-08,A,1,https://npiregistry.cms.hhs.gov/provider-view/1891658639
1225392442,A New Direction Counseling Llc,,,,,,"Counselor, Professional",101YP2500X,"Counselor, Professional",,,A NEW DIRECTION COUNSELING LLC,4221 MAYFAIR ST,,Myrtle Beach,SC,29577,843-424-5855,843-236-9418,primary_practice,2012-07-03,2012-07-03,A,4,https://npiregistry.cms.hhs.gov/provider-view/1225392442
1194112920,"A Piece Of Mind Counseling And Consulting, Llc",,,,,,"Counselor, Professional",101YP2500X,"Counselor, Professional; Nurse Practitioner, Family",3958,SC,"A PIECE OF MIND COUNSELING AND CONSULTING, LLC",3944 HIGHWAY 17,UNIT 7,Murrells Inlet,SC,29576,843-318-0380,843-947-0812,primary_practice,2015-04-20,2015-04-20,A,2,https://npiregistry.cms.hhs.gov/provider-view/1194112920
1164766887,"A Primary Choice, Inc.",,,,,,In Home Supportive Care,253Z00000X,In Home Supportive Care,HC4522,NC,"A PRIMARY CHOICE, INC.",100 MEMORY PLZ,,Whiteville,NC,28472,910-642-9900,910-642-9900,primary_practice,2012-11-19,2026-04-10,A,4,https://npiregistry.cms.hhs.gov/provider-view/1164766887
1164766887,"A Primary Choice, Inc.",,,,,,In Home Supportive Care,253Z00000X,In Home Supportive Care,HC4522,NC,"A PRIMARY CHOICE, INC.",106 S LEE ST,,Whiteville,NC,28472,910-642-9900,,other_practice,2012-11-19,2026-04-10,A,3,https://npiregistry.cms.hhs.gov/provider-view/1164766887
1164766184,"A Primary Choice, Inc.",,,,,,In Home Supportive Care,253Z00000X,In Home Supportive Care,HC4522,NC,"A PRIMARY CHOICE, INC.",106 S LEE ST,,Whiteville,NC,28472,910-642-9900,,primary_practice,2012-11-15,2016-10-25,A,3,https://npiregistry.cms.hhs.gov/provider-view/1164766184
1669320008,Aba Supportive Care Sc Llc,,,,,,Behavior Analyst,103K00000X,Behavior Analyst,,,ABA SUPPORTIVE CARE SC LLC,3100 DICK POND RD,,Myrtle Beach,SC,29588,317-936-1240,,primary_practice,2026-03-20,2026-03-20,A,3,https://npiregistry.cms.hhs.gov/provider-view/1669320008
1710393947,Abc Pediatric Therapy,,,,,,"Speech-Language Pathologist,  ",235Z00000X,"Speech-Language Pathologist,  ",,,ABC PEDIATRIC THERAPY,371 ALMA ST,,Georgetown,SC,29440,843-240-0018,,primary_practice,2014-07-08,2014-07-08,A,1,https://npiregistry.cms.hhs.gov/provider-view/1710393947
1598723405,Abh Anesthesia Inc,,,,,,"Nurse Anesthetist, Certified Registered",367500000X,"Nurse Anesthetist, Certified Registered",,,ABH ANESTHESIA INC,1118 FAIRINGTON DR,,Sidney,OH,45365,937-492-3755,,primary_practice,2006-05-02,2020-08-22,A,1,https://npiregistry.cms.hhs.gov/provider-view/1598723405
